state,id,title,description,url,applyMethod,company,location,type,applies,views,expireAt,formattedJobFunctions,jobFunctions,industries,formattedIndustries,formattedExperienceLevel,listedAt,originalListedAt,skills
LISTED,4086259009,Internship Program,"Scholar Program, 2025.
A good Internship is never hands-off. Share your passion for getting hands-on with us.
We believe in creating an environment where our scholars really can learn by doing during their time with us and where they are given their own areas of responsibilities from the start. That’s why our experts treat you as part of the team from day one, encourage you to bring your own ideas to the table – and give you the opportunity to really show what you can do.
Get ready to work in an environment of trust and respect, with attractive and highly challenging tasks while developing your experience and skills with the support of expert mentors.
Vacancies:Operations & Sales: Corporate & Special Sales Scholar (Code: 1)Information Technology: Agile Working Model, Cybersecurity, AWS & IT Compliance Scholar (Code: 2)Marketing: Dealer Marketing Scholar (Code: 3)Accounting: Accounts Payable Scholar (Code: 4)
Desired skills and Experience:Be an active University student from 5th onwards.Good grades.Availability from January to July 2025, preferably between 09:00 to 15:00 hrs, from Monday to Friday.Good MS Office skills.Proactive, responsible and communication skills.Fluent in English.",https://www.linkedin.com/jobs/view/4086259009/,"{'companyApplyUrl': '', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/4086259009'}","{'id': 2387, 'name': 'BMW Group', 'universalName': 'bmw-group', 'description': 'With its four brands BMW, MINI, Rolls-Royce and BMW Motorrad, the BMW Group is the world’s leading premium manufacturer of automobiles and motorcycles and also provides premium financial and mobility services. The BMW Group production network comprises over 30 production sites worldwide; the company has a global sales network in more than 140 countries.\n\nIn 2023, the BMW Group sold over 2.55 million passenger vehicles and more than 209,000 motorcycles worldwide. The profit before tax in the financial year 2023 was € 17.1 billion on revenues amounting to € 155.5 billion. As of 31 December 2023, the BMW Group had a workforce of 154,950 employees.\n\nThe success of the BMW Group has always been based on long-term thinking and responsible action, from the supply chain through production to the end of the use phase of all products. ', 'logo': 'https://media.licdn.com/dms/image/v2/D4D0BAQG-ty2ieqUafw/company-logo_200_200/company-logo_200_200/0/1719814324897/bmw_group_logo?e=1741824000&v=beta&t=q0cJS2O_h4Aafeaxzlye-aKuBiYR_DsyEGUw0M6CABg', 'url': 'https://www.linkedin.com/company/bmw-group', 'followerCount': 3060511, 'staffCount': 57358, 'staffCountRange': {'start': 10001}, 'specialities': ['Automotive', 'Information Technology', 'Data Science', 'Software Development', 'Artificial Intelligence', 'Data Security', 'Motorcycles', 'Financial Services', 'Mobility Services', 'Digital Services', 'IoT', 'Future of Mobilty', 'Autonomous Driving', 'Connectivity', 'Sheer Driving Pleasure'], 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'country': 'DE', 'city': 'Munich', 'postalCode': '80788', 'line1': 'Petuelring 130'}}","Mexico City, Mexico",Internship,410,2023,1735485387000,"['Administrative', 'General Business', 'Other']","['ADM', 'GENB', 'OTHR']",[53],['Motor Vehicle Manufacturing'],Internship,1732893387000,1732893387000,"['Communication', 'English as a Second Language (ESL)', 'Leadership', 'Presentation Skills']"
LISTED,4093001224,Warranty Trainee,"SPREAD ENTHUSIASM.SHARE YOUR PASSION.
Our aftersales teams make a difference every day – through their passion, their business acumen, their communication skills and their instinct for how to make our customers happy. And all of this in an environment that sets no limits to personal development and rewards dedication with appreciation and generous benefits.
Warranty Trainee.
As a Warranty trainee, you will manage the complete warranty process in the market. Also ensure the correct process of the warranty provision and timely report its status to the finance department.
Responsibilities.Innovate on report and analysis of warranty figures and implement preventive and/or corrective actions when necessary.Manage the warranty and audit process at retail and NSC level.Execute the Steering of service inclusive in MX and provides regional SI Process Support to IM Markets.Execute the adequate and timely payments to retailers for Warranty, Goodwill, and local decision claims.Lead the fulfillment of the parts scrapping process for retailers.Ensure the warranty policies are up to date following the central guidelines by updating the retailer´s Warranty Manual as well as the customer’s Service Manual when needed.
Qualifications and experience.Bachelor's degree on Industrial Management or Engineering.1 or 2 years in the automotive industry is desirable.Customer service skills (active listening, problem solving and ethics).Microsoft Office skills (PowerPoint, Word, and Excel).Fluent in English language.",https://www.linkedin.com/jobs/view/4093001224/,"{'companyApplyUrl': 'https://www.bmwgroup.jobs/en/jobfinder/job-description-copy.147680.content.html', 'easyApplyUrl': ''}","{'id': 2387, 'name': 'BMW Group', 'universalName': 'bmw-group', 'description': 'With its four brands BMW, MINI, Rolls-Royce and BMW Motorrad, the BMW Group is the world’s leading premium manufacturer of automobiles and motorcycles and also provides premium financial and mobility services. The BMW Group production network comprises over 30 production sites worldwide; the company has a global sales network in more than 140 countries.\n\nIn 2023, the BMW Group sold over 2.55 million passenger vehicles and more than 209,000 motorcycles worldwide. The profit before tax in the financial year 2023 was € 17.1 billion on revenues amounting to € 155.5 billion. As of 31 December 2023, the BMW Group had a workforce of 154,950 employees.\n\nThe success of the BMW Group has always been based on long-term thinking and responsible action, from the supply chain through production to the end of the use phase of all products. ', 'logo': 'https://media.licdn.com/dms/image/v2/D4D0BAQG-ty2ieqUafw/company-logo_200_200/company-logo_200_200/0/1719814324897/bmw_group_logo?e=1741824000&v=beta&t=q0cJS2O_h4Aafeaxzlye-aKuBiYR_DsyEGUw0M6CABg', 'url': 'https://www.linkedin.com/company/bmw-group', 'followerCount': 3060511, 'staffCount': 57358, 'staffCountRange': {'start': 10001}, 'specialities': ['Automotive', 'Information Technology', 'Data Science', 'Software Development', 'Artificial Intelligence', 'Data Security', 'Motorcycles', 'Financial Services', 'Mobility Services', 'Digital Services', 'IoT', 'Future of Mobilty', 'Autonomous Driving', 'Connectivity', 'Sheer Driving Pleasure'], 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'country': 'DE', 'city': 'Munich', 'postalCode': '80788', 'line1': 'Petuelring 130'}}","Mexico City, Mexico",Full-time,75,405,1736023740000,"['Administrative', 'Business Development', 'Customer Service']","['ADM', 'BD', 'CUST']",[53],['Motor Vehicle Manufacturing'],Entry level,1733431740000,1733431740000,"['After-Sales', 'Customer Service', 'English', 'Financial Management', 'Problem Solving', 'Warranties']"
LISTED,4075592050,Electric and Electronic Product Audit Coordinator,"When the goal is to ensure that each and every BMW delivers pure driving pleasure as standard, quality control is paramount. That’s why our quality standards are only ever as good as the sum of the personal standards of everyone who tests them. This is why we value the passion and commitment of our quality experts so highly – and why their attention to the details ensures the quality of every single part of our vehicles.
What awaits you?
• Leads root-cause analysis of pre- series and series produced High Voltage Batteries, including conducting complex High Voltage Battery electrical systems analysis and test activities (both static and dynamic).• Manages the validation, integration, and launch viability of specific electronic/electrical (E/E) technical content or complete System for new product launches and new customer function introductions, and continuous quality thereof in series production.• Coordinates the analysis process for complaints of the High Voltage Battery plant or from product evaluation.
What should you bring along?
• Bachelor’s degree in engineering (Electrical, Mechanical or Automotive preferred).• 5+ years of professional experience in Engineering/Product Development, OR Automotive electrical systems analysis, IT / Computer Science, OR Manufacturing Quality.• 2+ years of experience of relevant experience in similar positions.• Passion for BMW vehicles.• Fluent business English.
Are you motivated and would you like to shape tomorrow's mobility with us? - Apply now! At the BMW Group, we see diversity and inclusion in all its dimensions as a strength for our teams. Equal opportunities are a particular concern for us, and the equal treatment of applicants and employees is a fundamental principle of our corporate policy. That is why our recruiting decisions are also based on personality, experience and skills.Find out more about diversity at the BMW Group at: bmwgroup.jobs/diversity",https://www.linkedin.com/jobs/view/4075592050/,"{'companyApplyUrl': 'https://jobs.bmwgroup.com/job/San-Luis-Potosi-Electric-and-Electronic-Product-Audit-Coordinator/1136182101/', 'easyApplyUrl': ''}","{'id': 2387, 'name': 'BMW Group', 'universalName': 'bmw-group', 'description': 'With its four brands BMW, MINI, Rolls-Royce and BMW Motorrad, the BMW Group is the world’s leading premium manufacturer of automobiles and motorcycles and also provides premium financial and mobility services. The BMW Group production network comprises over 30 production sites worldwide; the company has a global sales network in more than 140 countries.\n\nIn 2023, the BMW Group sold over 2.55 million passenger vehicles and more than 209,000 motorcycles worldwide. The profit before tax in the financial year 2023 was € 17.1 billion on revenues amounting to € 155.5 billion. As of 31 December 2023, the BMW Group had a workforce of 154,950 employees.\n\nThe success of the BMW Group has always been based on long-term thinking and responsible action, from the supply chain through production to the end of the use phase of all products. ', 'logo': 'https://media.licdn.com/dms/image/v2/D4D0BAQG-ty2ieqUafw/company-logo_200_200/company-logo_200_200/0/1719814324897/bmw_group_logo?e=1741824000&v=beta&t=q0cJS2O_h4Aafeaxzlye-aKuBiYR_DsyEGUw0M6CABg', 'url': 'https://www.linkedin.com/company/bmw-group', 'followerCount': 3060511, 'staffCount': 57358, 'staffCountRange': {'start': 10001}, 'specialities': ['Automotive', 'Information Technology', 'Data Science', 'Software Development', 'Artificial Intelligence', 'Data Security', 'Motorcycles', 'Financial Services', 'Mobility Services', 'Digital Services', 'IoT', 'Future of Mobilty', 'Autonomous Driving', 'Connectivity', 'Sheer Driving Pleasure'], 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'country': 'DE', 'city': 'Munich', 'postalCode': '80788', 'line1': 'Petuelring 130'}}","San Luis Potosí, Mexico",Contract,102,829,1734111234000,"['Production', 'Manufacturing']","['PROD', 'MNFC']",[147],['Automation Machinery Manufacturing'],Mid-Senior level,1731519234000,1731519234000,"['Analytical Skills', 'Automotive', 'External Audits', 'English', 'Business English', 'Computer Science', 'Internal Controls', 'Internal Audits', 'Product Launch', 'Systems Analysis']"
LISTED,4080237279,Powertrain (Engines and High Voltage) Coordinator.,"When the goal is to ensure that each and every BMW delivers pure driving pleasure as standard, quality control is paramount. That’s why our quality standards are only ever as good as the sum of the personal standards of everyone who tests them. This is why we value the passion and commitment of our quality experts so highly – and why their attention to the details ensures the quality of every single part of our vehicles.
What awaits you?
As Powertrain International Coordinator, you will serve as the primary contact between the BMW Group Plant San Luis Potosí and the BMW Powertrain plants.Within the San Luis Potosí plant, you will be the primary point of contact for all series powertrain product complaints related to Engine and High-Voltage supplied parts.Working closely with the powertrain network, your responsibilities will include handling engine and high voltage supplier self-notifications, reporting of non-conformities found during vehicle assembly process, implementing customer protection measures, and initiating immediate countermeasures such as blocking, sorting, reworking, or replacing parts.You will provide on-site support to project management and onsite departments during launch phases.You will also potentially help PMP (Problem Management Process) by adhering to BMW guidelines and practices. Furthermore, you will coordinate studies, blocking, and redevelopment duties, assuring the believability and transparency of specified powertrain goals.
What you should bring along?
Bachelor’s degree in Mechanical Engineering, Electrical Engineering or a related field of study.5+ years of experience in technical vehicle and powertrain systems, including a solid understanding of Internal Combustion Engines and HV components, as well as intermediate knowledge of individual components/parts.Fluent business English.
Are you motivated and would you like to shape tomorrow's mobility with us? Apply now!
At the BMW Group, we see diversity and inclusion in all its dimensions as a strength for our teams. Equal opportunities are a particular concern for us, and the equal treatment of applicants and employees is a fundamental principle of our corporate policy. That is why our recruiting decisions are also based on personality, experience and skills.Find out more about diversity at the BMW Group at: bmwgroup.jobs/diversity",https://www.linkedin.com/jobs/view/4080237279/,"{'companyApplyUrl': 'https://www.bmwgroup.jobs/ca/en/jobfinder/job-description-copy.132414.content.html', 'easyApplyUrl': ''}","{'id': 2387, 'name': 'BMW Group', 'universalName': 'bmw-group', 'description': 'With its four brands BMW, MINI, Rolls-Royce and BMW Motorrad, the BMW Group is the world’s leading premium manufacturer of automobiles and motorcycles and also provides premium financial and mobility services. The BMW Group production network comprises over 30 production sites worldwide; the company has a global sales network in more than 140 countries.\n\nIn 2023, the BMW Group sold over 2.55 million passenger vehicles and more than 209,000 motorcycles worldwide. The profit before tax in the financial year 2023 was € 17.1 billion on revenues amounting to € 155.5 billion. As of 31 December 2023, the BMW Group had a workforce of 154,950 employees.\n\nThe success of the BMW Group has always been based on long-term thinking and responsible action, from the supply chain through production to the end of the use phase of all products. ', 'logo': 'https://media.licdn.com/dms/image/v2/D4D0BAQG-ty2ieqUafw/company-logo_200_200/company-logo_200_200/0/1719814324897/bmw_group_logo?e=1741824000&v=beta&t=q0cJS2O_h4Aafeaxzlye-aKuBiYR_DsyEGUw0M6CABg', 'url': 'https://www.linkedin.com/company/bmw-group', 'followerCount': 3060511, 'staffCount': 57358, 'staffCountRange': {'start': 10001}, 'specialities': ['Automotive', 'Information Technology', 'Data Science', 'Software Development', 'Artificial Intelligence', 'Data Security', 'Motorcycles', 'Financial Services', 'Mobility Services', 'Digital Services', 'IoT', 'Future of Mobilty', 'Autonomous Driving', 'Connectivity', 'Sheer Driving Pleasure'], 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'country': 'DE', 'city': 'Munich', 'postalCode': '80788', 'line1': 'Petuelring 130'}}","San Luis Potosí, Mexico",Full-time,68,595,1734622456000,"['Production', 'Manufacturing']","['PROD', 'MNFC']","[25, 147]","['Manufacturing', 'Automation Machinery Manufacturing']",Mid-Senior level,1732030456000,1732030456000,"['Business English', 'Construction', 'Electrical Engineering', 'Engineering', 'English', 'High-Voltage Engineering', 'Mechanical Engineering', 'Piping', 'Supervisory Skills', 'Voltage']"
LISTED,4090754266,Sen. Spec. Accounting,"FUTURE IS THE BEST INVESTMENT PROJECT.
SHARE YOUR PASSION.
Always under control, always with passion: those who want to shape the future need to keep track especially when it comes to goal-oriented corporate management. Thanks to extensive training and qualified teams, our finance colleagues create decisive added value for the BMW Group anew every day because they know what really counts.
Sen. Spec. Accounting.
As a Senior Specialist Accounting, you will be responsible for overseeing general accounting operations by controlling and verifying BMW FS transactions and financial statements.
Responsibilities.Account for BMW Leasing credit losses and reconcile with the contract management system.Reconcile the accounting system with the Retail Finance contract management system.Reconcile the portfolio of the San Luis Potosi Plant.Prepare and execute the necessary adjusting entries to clear the reconciling items in the General Ledger, including sufficient supporting documentation.Manage the company's fixed assets and their monthly depreciation.Account for fixed assets for BMW Leasing, including security deposits.Post extensions, terminations, transfers to inventory, sales and subsequent invoice generation in the accounting system.Oversee and manage the validation of the net clearing process for leasing contracts.Be responsible for the various entries for Standard Leasing, write-offs and retail reserves.Lead and coordinate the thorough research and analysis of reconciling items to ensure proper resolution within established guidelines.Reconcile accruals including depreciation for both entities.Be responsible for insurance related postings, including overseeing the collection of insurance commissions.Manage assignments, coordinate and respond to internal and external audit queries and independently follow up on open issues.
 Qualifications and experience.Bachelor's degree on Accounting or related field.5+ years of experience in accounting.3+ years of experience in banking or financial services industry.Experience in automotive industry (desirable).Customer service skills (active listening, problem solving and ethics).Microsoft Office skills (PowerPoint, Word and Excel).Fluent in English language.",https://www.linkedin.com/jobs/view/4090754266/,"{'companyApplyUrl': 'https://jobs.bmwgroup.com/job-invite/123080/', 'easyApplyUrl': ''}","{'id': 2387, 'name': 'BMW Group', 'universalName': 'bmw-group', 'description': 'With its four brands BMW, MINI, Rolls-Royce and BMW Motorrad, the BMW Group is the world’s leading premium manufacturer of automobiles and motorcycles and also provides premium financial and mobility services. The BMW Group production network comprises over 30 production sites worldwide; the company has a global sales network in more than 140 countries.\n\nIn 2023, the BMW Group sold over 2.55 million passenger vehicles and more than 209,000 motorcycles worldwide. The profit before tax in the financial year 2023 was € 17.1 billion on revenues amounting to € 155.5 billion. As of 31 December 2023, the BMW Group had a workforce of 154,950 employees.\n\nThe success of the BMW Group has always been based on long-term thinking and responsible action, from the supply chain through production to the end of the use phase of all products. ', 'logo': 'https://media.licdn.com/dms/image/v2/D4D0BAQG-ty2ieqUafw/company-logo_200_200/company-logo_200_200/0/1719814324897/bmw_group_logo?e=1741824000&v=beta&t=q0cJS2O_h4Aafeaxzlye-aKuBiYR_DsyEGUw0M6CABg', 'url': 'https://www.linkedin.com/company/bmw-group', 'followerCount': 3060511, 'staffCount': 57358, 'staffCountRange': {'start': 10001}, 'specialities': ['Automotive', 'Information Technology', 'Data Science', 'Software Development', 'Artificial Intelligence', 'Data Security', 'Motorcycles', 'Financial Services', 'Mobility Services', 'Digital Services', 'IoT', 'Future of Mobilty', 'Autonomous Driving', 'Connectivity', 'Sheer Driving Pleasure'], 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'country': 'DE', 'city': 'Munich', 'postalCode': '80788', 'line1': 'Petuelring 130'}}","Mexico City, Mexico",Full-time,33,214,1735944686000,"['Administrative', 'Analyst', 'Business Development']","['ADM', 'ANLS', 'BD']",[53],['Motor Vehicle Manufacturing'],Associate,1733352687000,1733352687000,"['Account Reconciliation', 'Accounting', 'Accruals', 'Auditing', 'English', 'Finance', 'Fixed Assets', 'General Ledgers', 'Microsoft Excel', 'Microsoft Office']"
not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned
LISTED,4081328747,Finance & Controlling (SAP FI/CO) IT Enabling Processes / Projects Rollout Coordinator,"Always under control, always with passion: those who want to shape the future need to keep track especially when it comes to goal-oriented corporate management. Thanks to extensive training and qualified teams, our finance colleagues create decisive added value for the BMW Group anew every day because they know what really counts.
What awaits you?
• Gather and analyze business requirements related to financial end to end processes.• Participates in the identification of areas for improvement within existing SAP FICO systems and processes.• Acts as a liaison with the business and translate business requirements into functional specifications for SAP configuration.• Provides flawless operational support to our internal business partners (Incident Management).• Design and configure SAP FICO solutions to meet business requirements and knows the interconnection between SAP FICO and other modules.• Develop functional specifications for customizations and enhancements with high quality.• Create test plans and scenarios to ensure solution quality, involving all the necessary business partners to ensure a complete test pipeline.• Configure (customizes) SAP FICO modules (General Ledger, Accounts Payable, Accounts Receivable, Asset Accounting, etc.) based on functional specifications.• Perform unit, integration, and user acceptance testing to validate solution functionality.• Troubleshoot and resolve issues identified during testing.• Assist in the deployment of SAP FICO solutions to production environments.• Provide post-implementation support, including user training and issue resolution.• Monitor system performance and identify opportunities for continuous improvement.• Work closely with business users, project managers, and technical teams to ensure successful project delivery.• Communicate effectively with stakeholders to manage expectations and provide updates.• Collaborate with other SAP functional consultants and developers to integrate FICO solutions with other modules.
What should you bring along?
• Bachelor's degree in IT or similar.• 5+ years of experience in SAP FICO, with a strong certification or demonstrably equivalent experience.• Experience with rollouts and deployments of SAP.• Knowledge in R/3 ECC 6.0 and S4 HANA.• Proven ability to manage projects using Agile or other methodologies.• A knack for problem-solving and understanding the holistic impact of process changes.• Familiarity with ABAP coding and debugging is a bonus, but a passion for learning is key.• Excellent communication skills in English.
Are you motivated and would you like to shape tomorrow's mobility with us? - Apply now!
At the BMW Group, we see diversity and inclusion in all its dimensions as a strength for our teams. Equal opportunities are a particular concern for us, and the equal treatment of applicants and employees is a fundamental principle of our corporate policy. That is why our recruiting decisions are also based on personality, experience and skills.Find out more about diversity at the BMW Group at: bmwgroup.jobs/diversity",https://www.linkedin.com/jobs/view/4081328747/,"{'companyApplyUrl': 'https://jobs.bmwgroup.com/job/San-Luis-Potosi-Finance-&-Controlling-%28FICO%29-IT-Enabling-Processes-Projects-Rollout-Coordinator/1104728901/', 'easyApplyUrl': ''}","{'id': 2387, 'name': 'BMW Group', 'universalName': 'bmw-group', 'description': 'With its four brands BMW, MINI, Rolls-Royce and BMW Motorrad, the BMW Group is the world’s leading premium manufacturer of automobiles and motorcycles and also provides premium financial and mobility services. The BMW Group production network comprises over 30 production sites worldwide; the company has a global sales network in more than 140 countries.\n\nIn 2023, the BMW Group sold over 2.55 million passenger vehicles and more than 209,000 motorcycles worldwide. The profit before tax in the financial year 2023 was € 17.1 billion on revenues amounting to € 155.5 billion. As of 31 December 2023, the BMW Group had a workforce of 154,950 employees.\n\nThe success of the BMW Group has always been based on long-term thinking and responsible action, from the supply chain through production to the end of the use phase of all products. ', 'logo': 'https://media.licdn.com/dms/image/v2/D4D0BAQG-ty2ieqUafw/company-logo_200_200/company-logo_200_200/0/1719814324897/bmw_group_logo?e=1741824000&v=beta&t=q0cJS2O_h4Aafeaxzlye-aKuBiYR_DsyEGUw0M6CABg', 'url': 'https://www.linkedin.com/company/bmw-group', 'followerCount': 3060511, 'staffCount': 57358, 'staffCountRange': {'start': 10001}, 'specialities': ['Automotive', 'Information Technology', 'Data Science', 'Software Development', 'Artificial Intelligence', 'Data Security', 'Motorcycles', 'Financial Services', 'Mobility Services', 'Digital Services', 'IoT', 'Future of Mobilty', 'Autonomous Driving', 'Connectivity', 'Sheer Driving Pleasure'], 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'country': 'DE', 'city': 'Munich', 'postalCode': '80788', 'line1': 'Petuelring 130'}}","San Luis Potosí, Mexico",Full-time,27,428,1734904949000,"['Production', 'Manufacturing', 'Accounting/Auditing']","['PROD', 'MNFC', 'ACCT']","[147, 135]","['Automation Machinery Manufacturing', 'Industrial Machinery Manufacturing']",Mid-Senior level,1732312949000,1732312949000,"['Analytical Skills', 'Communication', 'English', 'Financial Analysis', 'Functional Specifications', 'Interconnection', 'Problem Solving', 'SAP Products', 'Statutory Accounting Principles (SAP)', 'System Performance']"
LISTED,4083480433,TecSa (Technical Cleanliness) Coordinator,"When the goal is to ensure that each and every BMW delivers pure driving pleasure as standard, quality control is paramount. That’s why our quality standards are only ever as good as the sum of the personal standards of everyone who tests them. It’s why we value the passion and commitment of our quality experts so highly – and why their attention to the details ensures the quality of every single part of our vehicles.
What should you bring along?
• Executing the defined audit scopes, based on relevant requirements towards the production functions.• Managing the TecSa testing processes, particularly in projects, and analyzing special tests in the event of an incident (series).• Planning, conducting, documenting, and communicating TecSa assessments.• Deriving, implementing support, and monitoring TecSa improvement measures in the specialist areas.• Coordinating/pre-negotiating services from external companies for repairs, adjustments, and upgrades.
You should have:
• Bachelor’s Degree Degree in Engineering/Chemical or similar fields• 5+ years of work experience in the automotive or other manufacturing industry..• 5+ Years’ work experience in quality testing laboratories related roles.• Passion for BMW vehicles.• Fluent business English.
Are you motivated and would you like to shape tomorrow's mobility with us? Apply now!
At the BMW Group, we see diversity and inclusion in all its dimensions as a strength for our teams. Equal opportunities are a particular concern for us, and the equal treatment of applicants and employees is a fundamental principle of our corporate policy. That is why our recruiting decisions are also based on personality, experience and skills.Find out more about diversity at the BMW Group at: bmwgroup.jobs/diversity
",https://www.linkedin.com/jobs/view/4083480433/,"{'companyApplyUrl': 'https://www.bmwgroup.jobs/ca/en/jobfinder/job-description-copy.140931.content.html', 'easyApplyUrl': ''}","{'id': 2387, 'name': 'BMW Group', 'universalName': 'bmw-group', 'description': 'With its four brands BMW, MINI, Rolls-Royce and BMW Motorrad, the BMW Group is the world’s leading premium manufacturer of automobiles and motorcycles and also provides premium financial and mobility services. The BMW Group production network comprises over 30 production sites worldwide; the company has a global sales network in more than 140 countries.\n\nIn 2023, the BMW Group sold over 2.55 million passenger vehicles and more than 209,000 motorcycles worldwide. The profit before tax in the financial year 2023 was € 17.1 billion on revenues amounting to € 155.5 billion. As of 31 December 2023, the BMW Group had a workforce of 154,950 employees.\n\nThe success of the BMW Group has always been based on long-term thinking and responsible action, from the supply chain through production to the end of the use phase of all products. ', 'logo': 'https://media.licdn.com/dms/image/v2/D4D0BAQG-ty2ieqUafw/company-logo_200_200/company-logo_200_200/0/1719814324897/bmw_group_logo?e=1741824000&v=beta&t=q0cJS2O_h4Aafeaxzlye-aKuBiYR_DsyEGUw0M6CABg', 'url': 'https://www.linkedin.com/company/bmw-group', 'followerCount': 3060511, 'staffCount': 57358, 'staffCountRange': {'start': 10001}, 'specialities': ['Automotive', 'Information Technology', 'Data Science', 'Software Development', 'Artificial Intelligence', 'Data Security', 'Motorcycles', 'Financial Services', 'Mobility Services', 'Digital Services', 'IoT', 'Future of Mobilty', 'Autonomous Driving', 'Connectivity', 'Sheer Driving Pleasure'], 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'country': 'DE', 'city': 'Munich', 'postalCode': '80788', 'line1': 'Petuelring 130'}}","San Luis Potosí, Mexico",Full-time,21,347,1734888164000,"['Production', 'Manufacturing']","['PROD', 'MNFC']","[147, 25]","['Automation Machinery Manufacturing', 'Manufacturing']",Mid-Senior level,1732296164000,1732296164000,"['AutoCAD', 'Business', 'Business English', 'Construction', 'Engineering', 'English', 'HTML', 'ITIL', 'Manufacturing', 'Troubleshooting']"
LISTED,4071096356,Promotor de Ventas BMW,"¡Importante comercializadora automotriz busca tu talento!

¿Te interesa realizar una carrera en el giro automotriz? ¡Esta es tu oportunidad!

SOLICITAMOS PROMOTOR DE VENTAS AUTOMOTRIZ

Requisitos

Preparatoria, Licenciatura trunca o concluida

Experiencia y gusto por las Ventas

Experiencia deseable en ventas

Licencia de manejo vigente

¿Qué sí necesitamos?

Facilidad de palabra

Interés de aprendizaje

Sociabilidad

Trabajo en equipo

Gusto por las ventas

Funciones

Vender vehículos nuevos y productos de valor agregado, generando oportunidades de negocio mensurables y rentables a través de lograr la satisfacción del cliente.

Planear sus actividades mensualmente para alcanzar sus objetivos establecidos.

Prospectar clientes

Realizar entrevistas consultivas para determinar las necesidades y motivos de compra de los clientes.

Realizar demostraciones de los vehículos al cliente tanto estáticas como pruebas de manejo.

Desarrollar y presentar escenarios financieros convenientes al cliente sobre el vehículo de interés.

Generar cierre de venta

Ofrecemos

Sueldo base y atractivo esquema de comisiones NO TOPADAS!!!

Prestaciones de ley desde el primer día

Reparto de Utilidades

Capacitación Constante de la marca

Es una gran oportunidad ¡Inicia tu carrera en la Industria Automotriz con nosotros!¡Somos Grupo Fame!",https://www.linkedin.com/jobs/view/4071096356/,"{'companyApplyUrl': 'https://grupofame.pandape.computrabajo.com/Detail/8004539?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 105231596, 'name': 'Capital Humano Grupo Fame', 'universalName': 'capital-humano-grupo-fame', 'logo': 'https://media.licdn.com/dms/image/v2/D4E0BAQFO5XBgDOYXTA/company-logo_200_200/company-logo_200_200/0/1727979443446?e=1741824000&v=beta&t=nU9Nze7figs0Uxrw3q13oM6_0nrtvHvZHfyr_9128OI', 'url': 'https://www.linkedin.com/company/capital-humano-grupo-fame', 'followerCount': 141, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Human Resources Services'], 'headquarter': {}}","Morelia, Michoacán, Mexico",Full-time,5,56,1735933289000,"['Marketing', 'Sales']","['MRKT', 'SALE']",[137],['Human Resources Services'],Mid-Senior level,1730965993000,1730965993000,"['Apparel', 'Consumer Textiles', 'Customer Satisfaction', 'Merchandising', 'Oral Communication', 'Retail', 'Sales', 'Sales Negotiation', 'Sales Presentations', 'Teamwork']"
