state,id,title,description,url,applyMethod,company,location,applies,views,expireAt,formattedJobFunctions,jobFunctions,industries,formattedIndustries,formattedExperienceLevel,listedAt,originalListedAt,skills
LISTED,4098437320,AcceleratiON Program - Strategy & Finance,"WE’RE DRIVEN TO FINANCE DREAMS.SHARE YOUR PASSION.
At BMW, our dynamic finance teams continuously drive our business forward. And we count on everyone to play their part in helping us to reach ambitious new milestones. So whether you’re passionate about supporting our diverse teams with expert financial planning and management, or creating innovative new financial products that enable more people to enjoy the thrill of driving our vehicles, you’re sure to find an exciting challenge with us. Fostering a culture where everyone feels empowered, rewarded and supported is the driving force behind our success. So join us in changing the way the world moves for good.
AcceleratiON Program – Strategy & Finance.
The AcceleratiON Program is BMW Group International graduate program offering the opportunity to jumpstart the career of talented graduates and young professionals, during the assignments, participants gain insights into business processes, strategy, culture from local and global perspective.
Responsibilities.Market Strategy and Processes.Responsible for creating, updating and digitalizing Business & Strategy Presentations for CEO/CFO.Support the implementation of a Data Driven organization in the Finance Processes.Support the Process Mapping and Process Mining in the Sales Organization.Strengthen the Innovation Culture in the Finance organization through short-term ideas and projects.
Financial Controlling.Support the department in the creation of new automatized reports as a Data Steward.Support in general finance month end closing and forecast routines.Do a process review/mapping to identify efficiency/digitalization opportunities.
Qualifications and experience.Bachelor’s Degree in Finance, Accounting, Economics or related field.From 1 to 3 years of professional experience.International Experience as exchange programs, research and development or leadership programs.Customer service skills (active listening, problem solving and ethics).Microsoft Office skills (PowerPoint, Word, and Excel).Fluent in English language.",https://www.linkedin.com/jobs/view/4098437320/,"{'companyApplyUrl': 'https://www.bmwgroup.jobs/mx/en/jobfinder/job-description-copy.148581.content.html', 'easyApplyUrl': ''}","{'id': 2387, 'name': 'BMW Group', 'universalName': 'bmw-group', 'description': 'With its four brands BMW, MINI, Rolls-Royce and BMW Motorrad, the BMW Group is the world’s leading premium manufacturer of automobiles and motorcycles and also provides premium financial services. The BMW Group production network comprises over 30 production sites worldwide; the company has a global sales network in more than 140 countries.\n\nIn 2024, the BMW Group sold over 2.45 million passenger vehicles and more than 210,000 motorcycles worldwide. The profit before tax in the financial year 2023 was € 17.1 billion on revenues amounting to € 155.5 billion. As of 31 December 2023, the BMW Group had a workforce of 154,950 employees.\n\nThe economic success of the BMW Group has always been based on long-term thinking and responsible action. Sustainability is a key element of the BMW Group’s corporate strategy and covers all products from the supply chain and production to the end of their useful life.', 'logo': 'https://media.licdn.com/dms/image/v2/D4D0BAQG-ty2ieqUafw/company-logo_200_200/company-logo_200_200/0/1719814324897/bmw_group_logo?e=1744848000&v=beta&t=6ymJMALBkmhnpSoHAHa8TuXcWK8O0cs_uGvafDGWfpk', 'url': 'https://www.linkedin.com/company/bmw-group', 'followerCount': 3091011, 'staffCount': 57930, 'staffCountRange': {'start': 10001}, 'specialities': ['Automotive', 'Information Technology', 'Data Science', 'Software Development', 'Artificial Intelligence', 'Data Security', 'Motorcycles', 'Financial Services', 'Mobility Services', 'Digital Services', 'IoT', 'Future of Mobilty', 'Autonomous Driving', 'Connectivity', 'Sheer Driving Pleasure'], 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'country': 'DE', 'city': 'Munich', 'postalCode': '80788', 'line1': 'Petuelring 130'}}","Mexico City, Mexico",561,3216,1739208542000,"['Finance', 'Strategy/Planning', 'Administrative']","['FIN', 'STRA', 'ADM']",[53],['Motor Vehicle Manufacturing'],Associate,1736438092000,1734024543000,not mentioned
LISTED,4118543994,Master Trainer - Electrical Testing / Energy Module,"Digitalisation, robotics, artificial intelligence – not science fiction but our daily business. Everything seems impossible until it has been done. Our Industry 4.0 experts work on digitalising the entire value chain. They develop ground-breaking production technologies and set new standards for connecting all workflows. Industry 4.0 goes beyond connecting man and machine: it connects all stages of production, our processes and our customers.
 What awaits you?Responsible for developing and implementing a comprehensive long-term control and electrical drive strategy, incorporating internal testing procedures.Guarantee seamless integration of PLCs and line equipment with Shopfloor systems through accurate connection and parameterization.Provide comprehensive training to production personnel on automation concepts, programming, commissioning, and troubleshooting techniques.Lead organizational efforts to analyze equipment downtime and faults, initiating and improving preventive maintenance initiatives.
What should you bring along? Bachelor’s degree in Electrical Engineering with a focus on controls engineering, electrical engineering, robot engineering, automotive/automation engineering, mechatronics, or a related field.6+ years of hands-on experience in controls engineering or electrical drives development in the automotive industry or similar, preferably in production, planning or maintenance.Proven ability to effectively train and mentor technical teams.Strong analytical and problem-solving skills.Excellent communication and interpersonal skills.Fluency in English.
",https://www.linkedin.com/jobs/view/4118543994/,"{'companyApplyUrl': '', 'easyApplyUrl': ''}","{'id': 94748463, 'name': 'BMW SLP, S.A. de C.V.', 'universalName': 'bmw-slp-s.a.-de-c.v.', 'description': 'BMW SLP, S.A. de C.V. is a company based out of Jesús María, San Luis Potosí, Mexico.', 'url': 'https://www.linkedin.com/company/bmw-slp-s.a.-de-c.v.', 'followerCount': 91, 'staffCount': 30, 'staffCountRange': {}, 'headquarter': {'geographicArea': 'San Luis Potosí', 'country': 'MX', 'city': 'Jesús María'}}","San Luis Potosí, San Luis Potosí, Mexico",37,341,1738847425000,not mentioned,"['MGMT', 'MNFC']",not mentioned,not mentioned,not mentioned,1736255425000,1736255425000,not mentioned
LISTED,4100045199,AcceleratiON Program - Digital Marketing,"IT’S ENTHUSIASM THAT MOVES PEOPLE.SHARE YOUR PASSION.
At BMW, our marketing teams are constantly developing moving communications to reflect the special nature of our products and brand. And everyone has a role to play in shaping the next chapters in our pioneering story. So whether you're passionate about analysing insights and data, developing new marketing strategies or creating innovative campaigns that capture our unique brand spirit, you’re sure to find an exciting challenge with us. Fostering a culture where everyone feels empowered, rewarded and supported is the driving force behind our success.
AcceleratiON Program – Digital Marketing.
The AcceleratiON Program is BMW Group International graduate program offering the opportunity to jumpstart the career of talented graduates and young professionals, during the assignments, participants gain insights into business processes, strategy, culture from local and global perspective.
Responsibilities.Procure accurate full range information on dealer and importer websites, administration, update and cleanup.Search engine optimization and marketing.Develop digital projects and add on roll outs.Development of “Digital First” materials for campaigns.Dealer and importer social media monitoring / listening (strategy and guideline compliance).Model launch orchestration on the web.Website data analysis and reporting.
Qualifications and experience.Bachelor’s Degree in Marketing, Business, Administration or related field.From 1 to 3 years of professional experience.International Experience as exchange programs, research and development or leadership programs.Customer service skills (active listening, problem solving and ethics).Microsoft Office skills (PowerPoint, Word, and Excel).Fluent in English language.",https://www.linkedin.com/jobs/view/4100045199/,"{'companyApplyUrl': 'https://www.bmwgroup.jobs/mx/es/jobfinder/job-description-copy.148889.content.html', 'easyApplyUrl': ''}","{'id': 2387, 'name': 'BMW Group', 'universalName': 'bmw-group', 'description': 'With its four brands BMW, MINI, Rolls-Royce and BMW Motorrad, the BMW Group is the world’s leading premium manufacturer of automobiles and motorcycles and also provides premium financial services. The BMW Group production network comprises over 30 production sites worldwide; the company has a global sales network in more than 140 countries.\n\nIn 2024, the BMW Group sold over 2.45 million passenger vehicles and more than 210,000 motorcycles worldwide. The profit before tax in the financial year 2023 was € 17.1 billion on revenues amounting to € 155.5 billion. As of 31 December 2023, the BMW Group had a workforce of 154,950 employees.\n\nThe economic success of the BMW Group has always been based on long-term thinking and responsible action. Sustainability is a key element of the BMW Group’s corporate strategy and covers all products from the supply chain and production to the end of their useful life.', 'logo': 'https://media.licdn.com/dms/image/v2/D4D0BAQG-ty2ieqUafw/company-logo_200_200/company-logo_200_200/0/1719814324897/bmw_group_logo?e=1744848000&v=beta&t=6ymJMALBkmhnpSoHAHa8TuXcWK8O0cs_uGvafDGWfpk', 'url': 'https://www.linkedin.com/company/bmw-group', 'followerCount': 3091010, 'staffCount': 57933, 'staffCountRange': {'start': 10001}, 'specialities': ['Automotive', 'Information Technology', 'Data Science', 'Software Development', 'Artificial Intelligence', 'Data Security', 'Motorcycles', 'Financial Services', 'Mobility Services', 'Digital Services', 'IoT', 'Future of Mobilty', 'Autonomous Driving', 'Connectivity', 'Sheer Driving Pleasure'], 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'country': 'DE', 'city': 'Munich', 'postalCode': '80788', 'line1': 'Petuelring 130'}}","Mexico City, Mexico",864,3174,1739304233000,"['Administrative', 'Marketing', 'Public Relations']","['ADM', 'MRKT', 'PR']",[53],['Motor Vehicle Manufacturing'],Associate,1736438084000,1734120233000,not mentioned
LISTED,4122313635,Gerente de sucursal,"Gerente de sucursal de la empresa JURGEN MOTORS, distribuidor autorizado de la marca BMW Motorrad. 
Descripción de Puesto: Gerente General
Objetivo del Puesto:El Gerente de sucursal es responsable de liderar, dirigir y supervisar todas las operaciones y actividades de la sucursal para asegurar el cumplimiento de los objetivos estratégicos, la rentabilidad y el crecimiento sostenible. Este rol implica la toma de decisiones clave, la gestión de recursos, y la representación de la empresa ante socios, clientes y otras partes interesadas.
Responsabilidades: • Definir y supervisar la ejecución de estrategias, políticas y objetivos generales de la empresa. • Asegurar la correcta operación de las diferentes áreas del negocio  • Coordinar y dirigir las operaciones de las diferentes áreas (ventas, taller, refacciones, boutique)  • Establecer relaciones con clientes, proveedores, y otras partes clave del mercado. • Asegurar el cumplimiento de objetivos comerciales y de la marca.  • Gestionar el presupuesto y los recursos financieros de manera eficiente. • Promover una cultura organizacional alineada con la misión y los valores de la empresa. • Supervisar la contratación, desarrollo y evaluación del personal de alto nivel. • Reportar a dirección sobre resultados, desafíos y oportunidades.
Requisitos: • Educación: Licenciatura  • Experiencia: Mínimo de 5 de experiencia en puestos de liderazgo, preferentemente en la industria o sector relevante. • Conocimientos: Ventas, Gestión estratégica, análisis financiero, liderazgo, marketing, y manejo de equipos de trabajo. • Habilidades: • Liderazgo y toma de decisiones. • Capacidad para resolver problemas y pensar estratégicamente. • Habilidades interpersonales y de negociación. • Capacidad para gestionar múltiples proyectos simultáneamente. • Habilidad para motivar y dirigir equipos de trabajo.
Competencias Clave: • Orientación a resultados. • Visión estratégica. • Comunicación efectiva. • Innovación y adaptabilidad. • Gestión de riesgos.
Condiciones Laborales: • Jornada laboral completa. • Beneficios adicionales según políticas de la empresa (bonos)",https://www.linkedin.com/jobs/view/4122313635/,"{'companyApplyUrl': '', 'easyApplyUrl': ''}","{'name': 'BMW JURGEN MOTORS', 'staffCountRange': {}, 'headquarter': {}}","Guadalajara, Jalisco, Mexico",19,84,1752079295000,not mentioned,"['SALE', 'BD']",not mentioned,not mentioned,not mentioned,1736527295000,1736527295000,not mentioned
LISTED,4071096356,Promotor de Ventas BMW,"¡Importante comercializadora automotriz busca tu talento!

¿Te interesa realizar una carrera en el giro automotriz? ¡Esta es tu oportunidad!

SOLICITAMOS PROMOTOR DE VENTAS AUTOMOTRIZ

Requisitos

Preparatoria, Licenciatura trunca o concluida

Experiencia y gusto por las Ventas

Experiencia deseable en ventas

Licencia de manejo vigente

¿Qué sí necesitamos?

Facilidad de palabra

Interés de aprendizaje

Sociabilidad

Trabajo en equipo

Gusto por las ventas

Funciones

Vender vehículos nuevos y productos de valor agregado, generando oportunidades de negocio mensurables y rentables a través de lograr la satisfacción del cliente.

Planear sus actividades mensualmente para alcanzar sus objetivos establecidos.

Prospectar clientes

Realizar entrevistas consultivas para determinar las necesidades y motivos de compra de los clientes.

Realizar demostraciones de los vehículos al cliente tanto estáticas como pruebas de manejo.

Desarrollar y presentar escenarios financieros convenientes al cliente sobre el vehículo de interés.

Generar cierre de venta

Ofrecemos

Sueldo base y atractivo esquema de comisiones NO TOPADAS!!!

Prestaciones de ley desde el primer día

Reparto de Utilidades

Capacitación Constante de la marca

Es una gran oportunidad ¡Inicia tu carrera en la Industria Automotriz con nosotros!¡Somos Grupo Fame!",https://www.linkedin.com/jobs/view/4071096356/,"{'companyApplyUrl': 'https://grupofame.pandape.computrabajo.com/Detail/8004539?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 105231596, 'name': 'Capital Humano Grupo Fame', 'universalName': 'capital-humano-grupo-fame', 'logo': 'https://media.licdn.com/dms/image/v2/D4E0BAQFO5XBgDOYXTA/company-logo_200_200/company-logo_200_200/0/1727979443446?e=1744848000&v=beta&t=8Z0hC2HGQBlXkOejI3cJd9yIpEj9lqmI5N2SuakG_gU', 'url': 'https://www.linkedin.com/company/capital-humano-grupo-fame', 'followerCount': 308, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Human Resources Services'], 'headquarter': {}}","Morelia, Michoacán, Mexico",19,135,1738309297000,"['Marketing', 'Sales']","['MRKT', 'SALE']",[137],['Human Resources Services'],Mid-Senior level,1730965993000,1730965993000,not mentioned
